index,mean energies,mean magnetisations
467,-299.696,0.999101
468,-299.697,0.999103
469,-299.697,0.999105
470,-299.698,0.999106
471,-299.699,0.999108
472,-299.699,0.99911
473,-299.7,0.999112
474,-299.7,0.999114
475,-299.701,0.999116
476,-299.702,0.999118
477,-299.702,0.99912
478,-299.703,0.999121
479,-299.704,0.999123
480,-299.704,0.999125
481,-299.705,0.999127
482,-299.705,0.999129
483,-299.706,0.999131
484,-299.707,0.999132
485,-299.707,0.999134
486,-299.708,0.999136
487,-299.708,0.999138
488,-299.709,0.999139
489,-299.71,0.999141
490,-299.71,0.999143
491,-299.711,0.999145
492,-299.711,0.999146
493,-299.712,0.999148
494,-299.713,0.99915
495,-299.713,0.999152
496,-299.714,0.999153
497,-299.714,0.999155
498,-299.715,0.999157
499,-299.715,0.999158
500,-299.716,0.99916
501,-299.717,0.999162
502,-299.717,0.999163
503,-299.718,0.999165
504,-299.718,0.999167
505,-299.719,0.999168
506,-299.719,0.99917
507,-299.72,0.999172
508,-299.72,0.999173
509,-299.721,0.999175
510,-299.722,0.999177
511,-299.722,0.999178
512,-299.723,0.99918
513,-299.723,0.999181
514,-299.724,0.999183
515,-299.724,0.999185
516,-299.725,0.999186
517,-299.725,0.999188
518,-299.726,0.999189
519,-299.726,0.999191
520,-299.727,0.999192
521,-299.727,0.999194
522,-299.728,0.999196
523,-299.728,0.999197
524,-299.729,0.999199
525,-299.73,0.9992
526,-299.73,0.999202
527,-299.731,0.999203
528,-299.731,0.999205
529,-299.732,0.999206
530,-299.732,0.999208
531,-299.733,0.999209
532,-299.733,0.999211
533,-299.734,0.999212
534,-299.734,0.999214
535,-299.735,0.999215
536,-299.735,0.999217
537,-299.736,0.999218
538,-299.736,0.999219
539,-299.737,0.999221
540,-299.737,0.999222
541,-299.738,0.999224
542,-299.738,0.999225
543,-299.738,0.999227
544,-299.739,0.999228
545,-299.739,0.999229
546,-299.74,0.999231
547,-299.74,0.999232
548,-299.741,0.999234
549,-299.723,0.999199
550,-299.724,0.9992
551,-299.724,0.999202
552,-299.725,0.999203
553,-299.725,0.999204
554,-299.726,0.999206
555,-299.726,0.999207
556,-299.727,0.999209
557,-299.727,0.99921
558,-299.728,0.999212
559,-299.728,0.999213
560,-299.729,0.999214
561,-299.729,0.999216
562,-299.73,0.999217
563,-299.73,0.999219
564,-299.73,0.99922
565,-299.731,0.999221
566,-299.731,0.999223
567,-299.732,0.999224
568,-299.732,0.999225
569,-299.733,0.999227
570,-299.733,0.999228
571,-299.734,0.99923
572,-299.734,0.999231
573,-299.735,0.999232
574,-299.735,0.999234
575,-299.736,0.999235
576,-299.736,0.999236
577,-299.737,0.999238
578,-299.737,0.999239
579,-299.737,0.99924
580,-299.738,0.999241
581,-299.738,0.999243
582,-299.739,0.999244
583,-299.739,0.999245
584,-299.74,0.999247
585,-299.74,0.999248
586,-299.741,0.999249
587,-299.741,0.999251
588,-299.741,0.999252
589,-299.742,0.999253
590,-299.742,0.999254
591,-299.743,0.999256
592,-299.743,0.999257
593,-299.744,0.999258
594,-299.744,0.999259
595,-299.745,0.999261
596,-299.745,0.999262
597,-299.745,0.999263
598,-299.746,0.999264
599,-299.746,0.999266
600,-299.747,0.999267
601,-299.747,0.999268
602,-299.747,0.999269
603,-299.748,0.99927
604,-299.748,0.999272
605,-299.749,0.999273
606,-299.749,0.999274
607,-299.75,0.999275
608,-299.75,0.999276
609,-299.75,0.999278
610,-299.751,0.999279
611,-299.751,0.99928
612,-299.752,0.999281
613,-299.752,0.999282
614,-299.752,0.999283
615,-299.753,0.999285
616,-299.753,0.999286
617,-299.754,0.999287
618,-299.754,0.999288
619,-299.754,0.999289
620,-299.755,0.99929
621,-299.755,0.999292
622,-299.756,0.999293
623,-299.756,0.999294
624,-299.756,0.999295
625,-299.757,0.999296
626,-299.757,0.999297
627,-299.758,0.999298
628,-299.758,0.999299
629,-299.758,0.999301
630,-299.759,0.999302
631,-299.759,0.999303
632,-299.759,0.999304
633,-299.76,0.999305
634,-299.76,0.999306
635,-299.761,0.999307
636,-299.761,0.999308
637,-299.761,0.999309
638,-299.762,0.99931
639,-299.762,0.999312
640,-299.763,0.999313
641,-299.763,0.999314
642,-299.763,0.999315
643,-299.764,0.999316
644,-299.764,0.999317
645,-299.764,0.999318
646,-299.765,0.999319
647,-299.765,0.99932
648,-299.765,0.999321
649,-299.766,0.999322
650,-299.766,0.999323
651,-299.767,0.999324
652,-299.767,0.999325
653,-299.767,0.999326
654,-299.768,0.999327
655,-299.768,0.999328
656,-299.768,0.999329
657,-299.769,0.99933
658,-299.769,0.999331
659,-299.769,0.999332
660,-299.77,0.999333
661,-299.77,0.999334
662,-299.77,0.999335
663,-299.771,0.999336
664,-299.771,0.999337
665,-299.771,0.999338
666,-299.772,0.999339
667,-299.772,0.99934
668,-299.772,0.999341
669,-299.773,0.999342
670,-299.773,0.999343
671,-299.773,0.999344
672,-299.774,0.999345
673,-299.774,0.999346
674,-299.774,0.999347
675,-299.775,0.999348
676,-299.775,0.999349
677,-299.775,0.99935
678,-299.776,0.999351
679,-299.776,0.999352
680,-299.776,0.999353
681,-299.777,0.999354
682,-299.777,0.999355
683,-299.777,0.999356
684,-299.778,0.999357
685,-299.778,0.999358
686,-299.778,0.999359
687,-299.779,0.99936
688,-299.779,0.999361
689,-299.779,0.999361
690,-299.78,0.999362
691,-299.78,0.999363
692,-299.78,0.999364
693,-299.781,0.999365
694,-299.781,0.999366
695,-299.781,0.999367
696,-299.782,0.999368
697,-299.782,0.999369
698,-299.782,0.99937
699,-299.768,0.999342
700,-299.769,0.999343
701,-299.769,0.999344
702,-299.769,0.999345
703,-299.77,0.999346
704,-299.77,0.999347
705,-299.77,0.999348
706,-299.771,0.999349
707,-299.771,0.999349
708,-299.771,0.99935
709,-299.772,0.999351
710,-299.772,0.999352
711,-299.772,0.999353
712,-299.772,0.999354
713,-299.773,0.999355
714,-299.773,0.999356
715,-299.773,0.999357
716,-299.774,0.999358
717,-299.774,0.999358
718,-299.774,0.999359
719,-299.775,0.99936
720,-299.775,0.999361
721,-299.775,0.999362
722,-299.776,0.999363
723,-299.776,0.999364
724,-299.776,0.999365
725,-299.777,0.999366
726,-299.777,0.999366
727,-299.777,0.999367
728,-299.777,0.999368
729,-299.778,0.999369
730,-299.778,0.99937
731,-299.778,0.999371
732,-299.779,0.999372
733,-299.779,0.999372
734,-299.779,0.999373
735,-299.78,0.999374
736,-299.78,0.999375
737,-299.78,0.999376
738,-299.78,0.999377
739,-299.781,0.999378
740,-299.781,0.999378
741,-299.781,0.999379
742,-299.782,0.99938
743,-299.782,0.999381
744,-299.782,0.999382
745,-299.783,0.999383
746,-299.783,0.999383
747,-299.783,0.999384
748,-299.783,0.999385
749,-299.784,0.999386
750,-299.784,0.999387
751,-299.784,0.999388
752,-299.785,0.999388
753,-299.785,0.999389
754,-299.785,0.99939
755,-299.785,0.999391
756,-299.786,0.999392
757,-299.786,0.999392
758,-299.786,0.999393
759,-299.787,0.999394
760,-299.787,0.999395
761,-299.787,0.999396
762,-299.787,0.999396
763,-299.788,0.999397
764,-299.788,0.999398
765,-299.788,0.999399
766,-299.789,0.9994
767,-299.789,0.9994
768,-299.789,0.999401
769,-299.789,0.999402
770,-299.79,0.999403
771,-299.79,0.999403
772,-299.79,0.999404
773,-299.79,0.999405
774,-299.791,0.999406
775,-299.791,0.999407
776,-299.791,0.999407
777,-299.792,0.999408
778,-299.792,0.999409
779,-299.792,0.99941
780,-299.792,0.99941
781,-299.793,0.999411
782,-299.793,0.999412
783,-299.793,0.999413
784,-299.793,0.999413
785,-299.794,0.999414
786,-299.794,0.999415
787,-299.794,0.999416
788,-299.794,0.999416
789,-299.795,0.999417
790,-299.795,0.999418
791,-299.795,0.999418
792,-299.795,0.999419
793,-299.796,0.99942
794,-299.796,0.999421
795,-299.796,0.999421
796,-299.796,0.999422
797,-299.797,0.999423
798,-299.797,0.999424
799,-299.797,0.999424
800,-299.797,0.999425
801,-299.798,0.999426
802,-299.798,0.999426
803,-299.798,0.999427
804,-299.798,0.999428
805,-299.799,0.999429
806,-299.799,0.999429
807,-299.799,0.99943
808,-299.799,0.999431
809,-299.8,0.999431
810,-299.8,0.999432
811,-299.8,0.999433
812,-299.801,0.999434
813,-299.801,0.999434
814,-299.801,0.999435
815,-299.801,0.999436
816,-299.801,0.999436
817,-299.802,0.999437
818,-299.802,0.999438
819,-299.802,0.999438
820,-299.802,0.999439
821,-299.803,0.99944
822,-299.803,0.99944
823,-299.803,0.999441
824,-299.803,0.999442
825,-299.804,0.999442
826,-299.804,0.999443
827,-299.804,0.999444
828,-299.804,0.999444
829,-299.805,0.999445
830,-299.805,0.999446
831,-299.805,0.999447
832,-299.805,0.999447
833,-299.806,0.999448
834,-299.806,0.999448
835,-299.806,0.999449
836,-299.806,0.99945
837,-299.806,0.99945
838,-299.807,0.999451
839,-299.807,0.999452
840,-299.807,0.999452
841,-299.807,0.999453
842,-299.808,0.999454
843,-299.808,0.999454
844,-299.808,0.999455
845,-299.808,0.999456
846,-299.809,0.999456
847,-299.809,0.999457
848,-299.809,0.999458
849,-299.809,0.999458
850,-299.809,0.999459
851,-299.81,0.99946
852,-299.81,0.99946
853,-299.81,0.999461
854,-299.81,0.999461
855,-299.811,0.999462
856,-299.811,0.999463
857,-299.811,0.999463
858,-299.811,0.999464
859,-299.811,0.999465
860,-299.812,0.999465
861,-299.812,0.999466
862,-299.812,0.999466
863,-299.812,0.999467
864,-299.812,0.999468
865,-299.813,0.999468
866,-299.813,0.999469
867,-299.813,0.999469
868,-299.813,0.99947
869,-299.814,0.999471
870,-299.814,0.999471
871,-299.814,0.999472
872,-299.814,0.999472
873,-299.814,0.999473
874,-299.815,0.999474
875,-299.815,0.999474
876,-299.815,0.999475
877,-299.815,0.999476
878,-299.815,0.999476
879,-299.816,0.999477
880,-299.816,0.999477
881,-299.816,0.999478
882,-299.816,0.999479
883,-299.817,0.999479
884,-299.817,0.99948
885,-299.817,0.99948
886,-299.817,0.999481
887,-299.817,0.999481
888,-299.818,0.999482
889,-299.818,0.999483
890,-299.818,0.999483
891,-299.818,0.999484
892,-299.818,0.999484
893,-299.819,0.999485
894,-299.819,0.999485
895,-299.819,0.999486
896,-299.819,0.999487
897,-299.819,0.999487
898,-299.82,0.999488
899,-299.82,0.999488
900,-299.82,0.999489
901,-299.82,0.999489
902,-299.82,0.99949
903,-299.821,0.999491
904,-299.821,0.999491
905,-299.821,0.999492
906,-299.821,0.999492
907,-299.821,0.999493
908,-299.822,0.999493
909,-299.822,0.999494
910,-299.822,0.999495
911,-299.822,0.999495
912,-299.822,0.999496
913,-299.823,0.999496
914,-299.823,0.999497
915,-299.823,0.999497
916,-299.823,0.999498
917,-299.823,0.999498
918,-299.824,0.999499
919,-299.824,0.999499
920,-299.824,0.9995
921,-299.824,0.999501
922,-299.824,0.999501
923,-299.824,0.999502
924,-299.825,0.999502
925,-299.825,0.999503
926,-299.825,0.999503
927,-299.825,0.999504
928,-299.825,0.999504
929,-299.826,0.999505
930,-299.826,0.999505
931,-299.826,0.999506
932,-299.826,0.999506
933,-299.826,0.999507
934,-299.827,0.999508
935,-299.827,0.999508
936,-299.827,0.999509
937,-299.827,0.999509
938,-299.827,0.99951
939,-299.827,0.99951
940,-299.828,0.999511
941,-299.828,0.999511
942,-299.828,0.999512
943,-299.828,0.999512
944,-299.828,0.999513
945,-299.829,0.999513
946,-299.829,0.999514
947,-299.829,0.999514
948,-299.829,0.999515
949,-299.829,0.999515
950,-299.829,0.999516
951,-299.83,0.999516
952,-299.83,0.999517
953,-299.83,0.999517
954,-299.83,0.999518
955,-299.83,0.999518
956,-299.831,0.999519
957,-299.831,0.999519
958,-299.831,0.99952
959,-299.831,0.99952
960,-299.831,0.999521
961,-299.831,0.999521
962,-299.832,0.999522
963,-299.832,0.999522
964,-299.832,0.999523
965,-299.832,0.999523
966,-299.832,0.999524
967,-299.832,0.999524
968,-299.833,0.999525
969,-299.833,0.999525
970,-299.833,0.999526
971,-299.833,0.999526
972,-299.833,0.999527
973,-299.833,0.999527
974,-299.834,0.999528
975,-299.834,0.999528
976,-299.834,0.999529
977,-299.834,0.999529
978,-299.834,0.99953
979,-299.835,0.99953
980,-299.835,0.999531
981,-299.835,0.999531
982,-299.835,0.999532
983,-299.835,0.999532
984,-299.835,0.999533
985,-299.836,0.999533
986,-299.836,0.999534
987,-299.836,0.999534
988,-299.836,0.999534
989,-299.836,0.999535
990,-299.836,0.999535
991,-299.837,0.999536
992,-299.837,0.999536
993,-299.837,0.999537
994,-299.837,0.999537
995,-299.837,0.999538
996,-299.837,0.999538
997,-299.838,0.999539
998,-299.838,0.999539
999,-299.838,0.99954
1000,-299.838,0.99954
1001,-299.838,0.999541
1002,-299.838,0.999541
1003,-299.838,0.999541
1004,-299.839,0.999542
1005,-299.839,0.999542
1006,-299.839,0.999543
1007,-299.839,0.999543
1008,-299.839,0.999544
1009,-299.839,0.999544
1010,-299.84,0.999545
1011,-299.84,0.999545
1012,-299.84,0.999546
1013,-299.84,0.999546
1014,-299.84,0.999546
1015,-299.84,0.999547
1016,-299.841,0.999547
1017,-299.841,0.999548
1018,-299.841,0.999548
1019,-299.841,0.999549
1020,-299.841,0.999549
1021,-299.841,0.99955
1022,-299.841,0.99955
1023,-299.842,0.99955
1024,-299.842,0.999551
1025,-299.842,0.999551
1026,-299.842,0.999552
1027,-299.842,0.999552
1028,-299.842,0.999553
1029,-299.843,0.999553
1030,-299.843,0.999553
1031,-299.843,0.999554
1032,-299.843,0.999554
1033,-299.843,0.999555
1034,-299.843,0.999555
1035,-299.843,0.999556
1036,-299.844,0.999556
1037,-299.844,0.999556
1038,-299.844,0.999557
1039,-299.844,0.999557
1040,-299.844,0.999558
1041,-299.844,0.999558
1042,-299.845,0.999559
1043,-299.845,0.999559
1044,-299.845,0.999559
1045,-299.845,0.99956
1046,-299.845,0.99956
1047,-299.845,0.999561
1048,-299.845,0.999561
1049,-299.846,0.999562
1050,-299.846,0.999562
1051,-299.846,0.999562
1052,-299.846,0.999563
1053,-299.846,0.999563
1054,-299.846,0.999564
1055,-299.846,0.999564
1056,-299.847,0.999564
1057,-299.847,0.999565
1058,-299.847,0.999565
1059,-299.847,0.999566
1060,-299.847,0.999566
1061,-299.847,0.999566
1062,-299.847,0.999567
1063,-299.848,0.999567
1064,-299.848,0.999568
1065,-299.848,0.999568
1066,-299.848,0.999569
1067,-299.848,0.999569
1068,-299.848,0.999569
1069,-299.848,0.99957
1070,-299.849,0.99957
1071,-299.849,0.999571
1072,-299.849,0.999571
1073,-299.849,0.999571
1074,-299.849,0.999572
1075,-299.849,0.999572
1076,-299.849,0.999573
1077,-299.85,0.999573
1078,-299.85,0.999573
1079,-299.85,0.999574
1080,-299.85,0.999574
1081,-299.85,0.999574
1082,-299.85,0.999575
1083,-299.85,0.999575
1084,-299.851,0.999576
1085,-299.851,0.999576
1086,-299.851,0.999576
1087,-299.851,0.999577
1088,-299.851,0.999577
1089,-299.851,0.999578
1090,-299.851,0.999578
1091,-299.852,0.999578
1092,-299.852,0.999579
1093,-299.852,0.999579
1094,-299.852,0.99958
1095,-299.852,0.99958
1096,-299.852,0.99958
1097,-299.852,0.999581
1098,-299.852,0.999581
1099,-299.853,0.999581
1100,-299.853,0.999582
1101,-299.853,0.999582
1102,-299.853,0.999583
1103,-299.853,0.999583
1104,-299.853,0.999583
1105,-299.853,0.999584
1106,-299.854,0.999584
1107,-299.854,0.999584
1108,-299.854,0.999585
1109,-299.854,0.999585
1110,-299.854,0.999586
1111,-299.854,0.999586
1112,-299.854,0.999586
1113,-299.854,0.999587
1114,-299.855,0.999587
1115,-299.855,0.999587
1116,-299.855,0.999588
1117,-299.855,0.999588
1118,-299.855,0.999589
1119,-299.855,0.999589
1120,-299.855,0.999589
1121,-299.855,0.99959
1122,-299.856,0.99959
1123,-299.856,0.99959
1124,-299.856,0.999591
1125,-299.856,0.999591
1126,-299.856,0.999592
1127,-299.856,0.999592
1128,-299.856,0.999592
1129,-299.857,0.999593
1130,-299.857,0.999593
1131,-299.857,0.999593
1132,-299.857,0.999594
1133,-299.857,0.999594
1134,-299.857,0.999594
1135,-299.857,0.999595
1136,-299.857,0.999595
1137,-299.858,0.999595
1138,-299.858,0.999596
1139,-299.858,0.999596
1140,-299.858,0.999597
1141,-299.858,0.999597
1142,-299.858,0.999597
1143,-299.858,0.999598
1144,-299.858,0.999598
1145,-299.859,0.999598
1146,-299.859,0.999599
1147,-299.859,0.999599
1148,-299.859,0.999599
1149,-299.859,0.9996
1150,-299.859,0.9996
1151,-299.859,0.9996
1152,-299.859,0.999601
