index,mean energies,mean magnetisations
444,-199.342,-0.00027027
445,-199.344,-0.000269663
446,-199.345,-0.000269058
447,-199.347,-0.000268456
448,-199.348,-0.000267857
449,-199.35,-0.000267261
450,-199.351,-0.000266667
451,-199.353,-0.000266075
452,-199.354,-0.000265487
453,-199.355,-0.000264901
454,-199.357,-0.000264317
455,-199.358,-0.000263736
456,-199.36,-0.000263158
457,-199.361,-0.000262582
458,-199.362,-0.000262009
459,-199.364,-0.000261438
460,-199.365,-0.00026087
461,-199.367,-0.000260304
462,-199.368,-0.00025974
463,-199.369,-0.000259179
464,-199.371,-0.000258621
465,-199.372,-0.000258065
466,-199.373,-0.000257511
467,-199.375,-0.000256959
468,-199.376,-0.00025641
469,-199.377,-0.000255864
470,-199.379,-0.000255319
471,-199.38,-0.000254777
472,-199.381,-0.000254237
473,-199.383,-0.0002537
474,-199.384,-0.000253165
475,-199.385,-0.000252632
476,-199.387,-0.000252101
477,-199.388,-0.000251572
478,-199.389,-0.000251046
479,-199.374,-0.000208768
480,-199.375,-0.000208333
481,-199.376,-0.0002079
482,-199.378,-0.000207469
483,-199.379,-0.000207039
484,-199.38,-0.000206612
485,-199.381,-0.000206186
486,-199.383,-0.000205761
487,-199.384,-0.000205339
488,-199.385,-0.000204918
489,-199.387,-0.000204499
490,-199.388,-0.000204082
491,-199.389,-0.000203666
492,-199.39,-0.000203252
493,-199.391,-0.00020284
494,-199.393,-0.000202429
495,-199.394,-0.00020202
496,-199.395,-0.000201613
497,-199.396,-0.000201207
498,-199.382,-0.000240964
499,-199.383,-0.000240481
500,-199.384,-0.00024
501,-199.385,-0.000239521
502,-199.386,-0.000239044
503,-199.388,-0.000238569
504,-199.389,-0.000238095
505,-199.39,-0.000237624
506,-199.391,-0.000237154
507,-199.393,-0.000236686
508,-199.394,-0.00023622
509,-199.395,-0.000235756
510,-199.396,-0.000235294
511,-199.397,-0.000234834
512,-199.398,-0.000234375
513,-199.4,-0.000233918
514,-199.401,-0.000233463
515,-199.402,-0.00023301
516,-199.403,-0.000232558
517,-199.404,-0.000232108
518,-199.405,-0.00023166
519,-199.407,-0.000231214
520,-199.408,-0.000230769
521,-199.409,-0.000230326
522,-199.41,-0.000229885
523,-199.411,-0.000229445
524,-199.412,-0.000229008
525,-199.413,-0.000228571
526,-199.414,-0.000228137
527,-199.416,-0.000227704
528,-199.417,-0.000227273
529,-199.418,-0.000226843
530,-199.419,-0.000226415
531,-199.42,-0.000225989
532,-199.421,-0.000225564
533,-199.422,-0.000225141
534,-199.423,-0.000224719
535,-199.424,-0.000224299
536,-199.425,-0.000223881
537,-199.426,-0.000223464
538,-199.428,-0.000223048
539,-199.429,-0.000222634
540,-199.43,-0.000222222
541,-199.431,-0.000221811
542,-199.432,-0.000221402
543,-199.433,-0.000220994
544,-199.434,-0.000220588
545,-199.435,-0.000220183
546,-199.436,-0.00021978
547,-199.437,-0.000219378
548,-199.438,-0.000218978
549,-199.424,-0.000182149
550,-199.425,-0.000181818
551,-199.426,-0.000181488
552,-199.428,-0.000181159
553,-199.429,-0.000180832
554,-199.43,-0.000180505
555,-199.431,-0.00018018
556,-199.432,-0.000179856
557,-199.433,-0.000179533
558,-199.434,-0.000179211
559,-199.42,-0.000143113
560,-199.421,-0.000142857
561,-199.422,-0.000142602
562,-199.423,-0.000142349
563,-199.425,-0.000142096
564,-199.426,-0.000141844
565,-199.427,-0.000141593
566,-199.428,-0.000141343
567,-199.429,-0.000141093
568,-199.43,-0.000140845
569,-199.431,-0.000140598
570,-199.432,-0.000140351
571,-199.433,-0.000140105
572,-199.434,-0.00013986
573,-199.435,-0.000139616
574,-199.436,-0.000139373
575,-199.437,-0.00013913
576,-199.438,-0.000138889
577,-199.438,-0.000138648
578,-199.439,-0.000138408
579,-199.44,-0.000138169
580,-199.441,-0.000137931
