index,mean energies,mean magnetisations
490,-299.739,0.99902
491,-299.739,0.999022
492,-299.74,0.999024
493,-299.74,0.999026
494,-299.741,0.999028
495,-299.741,0.99903
496,-299.742,0.999032
497,-299.742,0.999034
498,-299.743,0.999036
499,-299.743,0.999038
500,-299.744,0.99904
501,-299.745,0.999042
502,-299.745,0.999044
503,-299.746,0.999046
504,-299.746,0.999048
505,-299.747,0.99905
506,-299.747,0.999051
507,-299.748,0.999053
508,-299.748,0.999055
509,-299.749,0.999057
510,-299.749,0.999059
511,-299.75,0.999061
512,-299.75,0.999063
513,-299.75,0.999064
514,-299.751,0.999066
515,-299.751,0.999068
516,-299.752,0.99907
517,-299.752,0.999072
518,-299.753,0.999073
519,-299.753,0.999075
520,-299.754,0.999077
521,-299.735,0.99904
522,-299.736,0.999042
523,-299.736,0.999044
524,-299.737,0.999046
525,-299.737,0.999048
526,-299.738,0.999049
527,-299.738,0.999051
528,-299.739,0.999053
529,-299.739,0.999055
530,-299.74,0.999057
531,-299.74,0.999058
532,-299.741,0.99906
533,-299.741,0.999062
534,-299.742,0.999064
535,-299.742,0.999065
536,-299.743,0.999067
537,-299.743,0.999069
538,-299.743,0.999071
539,-299.744,0.999072
540,-299.744,0.999074
541,-299.745,0.999076
542,-299.745,0.999077
543,-299.746,0.999079
544,-299.746,0.999081
545,-299.747,0.999083
546,-299.747,0.999084
547,-299.748,0.999086
548,-299.748,0.999088
549,-299.749,0.999089
550,-299.749,0.999091
551,-299.75,0.999093
552,-299.75,0.999094
553,-299.75,0.999096
554,-299.751,0.999097
555,-299.751,0.999099
556,-299.752,0.999101
557,-299.752,0.999102
558,-299.753,0.999104
559,-299.753,0.999106
560,-299.754,0.999107
561,-299.754,0.999109
562,-299.754,0.99911
563,-299.755,0.999112
564,-299.755,0.999114
565,-299.756,0.999115
566,-299.756,0.999117
567,-299.757,0.999118
568,-299.757,0.99912
569,-299.757,0.999121
570,-299.758,0.999123
571,-299.758,0.999124
572,-299.759,0.999126
573,-299.759,0.999127
574,-299.76,0.999129
575,-299.76,0.99913
576,-299.76,0.999132
577,-299.761,0.999133
578,-299.761,0.999135
579,-299.762,0.999136
580,-299.762,0.999138
581,-299.762,0.999139
582,-299.763,0.999141
583,-299.763,0.999142
584,-299.764,0.999144
585,-299.764,0.999145
586,-299.764,0.999147
587,-299.765,0.999148
588,-299.765,0.99915
589,-299.766,0.999151
590,-299.766,0.999153
591,-299.767,0.999154
592,-299.767,0.999155
593,-299.767,0.999157
594,-299.768,0.999158
595,-299.768,0.99916
596,-299.768,0.999161
597,-299.769,0.999162
598,-299.769,0.999164
599,-299.77,0.999165
600,-299.77,0.999167
601,-299.77,0.999168
602,-299.771,0.999169
603,-299.771,0.999171
604,-299.772,0.999172
605,-299.772,0.999174
606,-299.772,0.999175
607,-299.773,0.999176
608,-299.773,0.999178
609,-299.773,0.999179
610,-299.774,0.99918
611,-299.774,0.999182
612,-299.775,0.999183
613,-299.775,0.999184
614,-299.775,0.999186
615,-299.776,0.999187
616,-299.776,0.999188
617,-299.776,0.99919
618,-299.777,0.999191
619,-299.777,0.999192
620,-299.777,0.999194
621,-299.778,0.999195
622,-299.778,0.999196
623,-299.779,0.999197
624,-299.779,0.999199
625,-299.779,0.9992
626,-299.78,0.999201
627,-299.78,0.999203
628,-299.78,0.999204
629,-299.781,0.999205
630,-299.781,0.999206
631,-299.781,0.999208
632,-299.782,0.999209
633,-299.782,0.99921
634,-299.782,0.999211
635,-299.783,0.999213
636,-299.783,0.999214
637,-299.783,0.999215
638,-299.784,0.999216
639,-299.784,0.999218
640,-299.784,0.999219
641,-299.785,0.99922
642,-299.785,0.999221
643,-299.785,0.999222
644,-299.786,0.999224
